Reporting Table (After Post-prcs),Elastic (Sproc Output),Nested Status ,ODSE Source/Features Team  Addition,SRTE Source,Notes,Type
,person_uid,No,Person.Person_UID,,,
provider_uid,provider_uid,No,Person.Person_UID,,,bigint
,person_parent_uid,No,Person.PERSON_PARENT_UID,,,
,cd,No,Person.cd,,,
,first_nm,No,Person.first_nm,,,
,middle_nm,No,Person.middle_nm,,,
,last_nm,No,Person.last_nm,,,
,nmsuffix,No,Person.nm_suffix,,,
,status_cd,No,Person.status_cd,,,
,status_time,No,Person.status_time,,,
,version_ctrl_nbr,No,Person.version_ctrl_nbr,,,
,edx_ind,No,Person.edx_ind,,,
,dedup_match_ind,No,Person.dedup_match_ind,,,
,record_status_time,No,Person.RECORD_STATUS_TIME,,,
local_id,local_id,No,Person.LOCAL_ID,,,varchar
record_status,record_status_cd,No,Person.RECORD_STATUS_CD,,,varchar
entry_method,electronic_ind,No,Person.electronic_ind,,,bigint
general_comments,description,No,Person.DESCRIPTION,,,varchar
,pn_person_uid,Yes-Name,Person_name.person_uid,,,
,person_name_seq,Yes-Name,Person_name.person_name_seq,,,
,pn_last_chg_time,Yes-Name,Person_name.last_chg_time,,,
name_prefix,,Yes-Name,,,,varchar
first_name,firstNm,Yes-Name,Person_name.first_nm,,,varchar
middle_name,middleNm,Yes-Name,Person_name.middle_nm,,,varchar
last_name,lastNm,Yes-Name,Person_name.last_nm,,,varchar
name_suffix,nmSuffix,Yes-Name,Person_name.nm_suffix,,,varchar
name_degree,nmDegree,Yes-Name,Person_nm.degree,,,varchar
,typeCd,Yes-Entity,Entity_id.type_cd,,,
,recordStatusCd,Yes-Entity,Entity_id.record_status_cd,,,
,entity_uid,Yes-Entity,Entity_id.entity_uid,,,
,entity_id_seq,Yes-Entity,Entity_id.entity_id_seq,,,
,assigning_authority_cd,Yes-Entity,Entity_id.assigning_authority_cd,,,
quick_code,,Yes-Entity,ENTITY_ID.ROOT_EXTENSION_TXT,,,varchar
provider_registration_num,,Yes-Entity,ENTITY_ID.ROOT_EXTENSION_TXT,,,varchar
provider_regisration_num_auth,,Yes-Entity,ENTITY_ID.ROOT_EXTENSION_TXT,,,varchar
,addr_elp_cd,Yes-Address,Entity_locator_participation.cd,,,
,addr_elp_use_cd,Yes-Address,Entity_locator_participation.use_cd,,,
,addr_pl_uid,Yes-Address,Postal_locator.postal_locator_uid,,,
street_address_1,streetAddr1,Yes-Address,Postal_Locator.STREET_ADDR1,,,varchar
street_address_2,streetAddr2,Yes-Address,Postal_Locator.STREET_ADDR2,,,varchar
city,city,Yes-Address,Postal_Locator.CITY_DESC_TXT,,,varchar
state,state_desc,Yes-Address,,STATE_CODE.CODE_DESC_TXT,,varchar
state_code,state,Yes-Address,Postal_Locator.STATE_CD,,,varchar
zip,zip,Yes-Address,Postal_Locator.ZIP_CD,,,varchar
county,,Yes-Address,,STATE_COUNTY_CODE_VALUE.CODE_DESC_TXT,,varchar
county_code,cntyCd,Yes-Address,Postal_Locator.CNTY_CD,,,varchar
country,cntryCd,Yes-Address,Postal_Locator.CNTRY_CD,COUNTRY_CODE.CODE_SHORT_DESC_TXT,,varchar
address_comments,address_comments,Yes-Address,Entity_locator_participation.locator_desc_txt,,,varchar
,ph_elp_cd,Yes-Phone,Entity_locator_participation.cd,,,
,ph_elp_use_cd,Yes-Phone,Entity_locator_participation.use_cd,,,
,ph_tl_uid,Yes-Phone,Tele_locator.tele_locator_uid,,,
phone_work,telephoneNbr,Yes-Phone,Tele_locator.phone_nbr_txt,,elp.USE_CD='WP',varchar
phone_ext_work,extensionTxt,Yes-Phone,Tele_locator.EXTENSION_TXT,,,varchar
phone_comments,phone_comments,Yes-Phone,Entity_locator_participation.locator_desc_txt,,,varchar
phone_cell,telephoneNbr,Yes-Phone,Tele_locator.tele_locator_uid,,elp.CD='CP',datetime
,email_elp_cd,Yes-Email,Entity_locator_participation.cd,,,
,email_elp_use_cd,Yes-Email,Entity_locator_participation.use_cd,,,
,email_tl_uid,Yes-Email,Tele_locator.tele_locator_uid,,,
email_work,emailAddress,Yes-Email,Tele_locator.EMAIL_ADDRESS,,,bigint
add_user_id,add_user_id,No,Person.add_user_id,,,varchar
add_user_name,,Function,AUTH_USER.ADD_USER_FIRST_NAME/ADD_USER_LAST_NAME,,,datetime
add_time,add_time,No,Person.add_time,,,datetime
last_chg_user_id,last_chg_user_id,No,Person.last_chg_user_id,,,
last_chg_user_name,,Function,AUTH_USER.CHG_USER_LAST_NAME/CHG_USER_FIRST_NAME,,,
last_chg_time,last_chg_time,No,Person.last_chg_time,,,
refresh_datetime,,,,,Updated by SQL Server,
